id;name
1;КРТ №1 Бескудниково
2;КРТ №2 Автомоторная
3;КРТ №3 Автомоторная
4;КРТ №4 Огородный проезд
5;КРТ №5 Огородный проезд
6;КРТ №6 Огородный проезд
7;КРТ №7 Октябрьское поле
8;КРТ №8 Кунцево
9;КРТ №9 Кунцево
10;КРТ №10 Бирюлево
11;КРТ №11 Западная влодопроводная станция
12;КРТ №12 Западная влодопроводная станция
13;КРТ №13 Новоподрезково
15;КРТ №15 Коровино
16;КРТ №16 Вагоноремонт
17;КРТ №17 Вагоноремонт
18;КРТ №18 Вагоноремонт
19;КРТ №19 Братцево
20;КРТ №20 Братцево
22;КРТ №22 Коптево
23;КРТ №23 Огородный проезд
24;КРТ №24 Огородный проезд
25;КРТ №25 Огородный проезд
26;КРТ №26 Огородный проезд
27;КРТ №27 Южный порт
28;КРТ №28 Курьяново
29;КРТ №29 Курьяново
30;КРТ №30 Курьяново
31;КРТ №31 Курьяново
32;КРТ №32 Верхние Котлы
33;КРТ №36 Верхние Котлы (южная часть)
34;КРТ №34 Верхние Котлы
35;КРТ №35 Верхние Котлы
36;КРТ №36 Верхние Котлы (северная часть)
37;КРТ №37 Бирюлево
38;КРТ №38 Чертаново
39;КРТ №39 Чертаново
40;КРТ №40 Чертаново
41;КРТ №41 Чертаново
42;КРТ №42 Чертаново
43;КРТ №43 Чертаново
44;КРТ №44 Чертаново
45;КРТ №45 Чертаново
46;КРТ №46 Южное Бутово
47;КРТ №47 Южное Бутово
