district;krt;stage;status_stage;date_start;date_end;next_stage;date_next;descriptions;group_name
3;7;1;1;2020-02-20;2020-07-08;12;2020-12-30;Получено положительное заключение Мосгосэкспертизы на ЖК 1;1
2;15;20;3;2020-09-18;2020-11-02;21;2020-11-17;;2
2;19;4;4;2020-11-05;2020-11-29;2;2020-11-30;Нужен акт ГИН об объектах самовольного строительства;3
5;1;4;4;2020-11-06;2020-11-30;2;2020-11-30;Нужен акт ГИН об объектах самовольного строительства;3
4;39;4;4;2020-11-07;2020-11-30;2;2020-05-10;Планируется рассмотрение в ДИиПП 22.10.2020;3
4;35;4;4;2020-11-08;2020-11-30;2;2020-02-02;РГ ГЗК, МКА возражает против жилья, нужно решение о дальнейшей реализации проекта;3
4;36;19;2;2019-12-23;2021-01-15;2;2021-01-01;ДГИ готовит исковое заявление о признании объектов самовольными постройками в суд;3
4;33;18;5;2019-12-26;2021-01-16;1;2021-01-02;Правообл. готов реализовать проект жилой застройки с технопарком при условии увеличения плотности, отказано 3 раза;4
4;40;15;6;2020-03-01;2020-10-30;1;2021-01-03;Разработка концепции и  ППТ, проведение совещания с правообладателями (ориентировочно после 04.11.2020);4
4;42;15;6;2020-07-02;2020-10-30;1;2021-01-04;Разработка концепции и  ППТ, проведение совещания с правообладателями (ориентировочно после 04.11.2020);4
5;24;16;2;2020-08-17;2020-11-10;22;2020-12-25;Материалы направлены в ГИН, требуется их рассмотреть и вынести вопрос на ГЗК;4
4;37;16;2;2020-10-16;2020-11-11;10;2020-12-11;Необходимо согласовать проекты об исключении и вынести вопрос на ГП;5
5;6;16;2;2020-10-16;2020-11-12;10;2020-12-11;Необходимо согласовать проекты об исключении и вынести вопрос на ГП;5
4;45;16;2;2020-10-16;2020-11-13;10;2020-12-11;Необходимо согласовать проекты об исключении и вынести вопрос на ГП;5
2;13;5;3;2020-08-13;2021-02-01;6;2021-05-05;не определена дата ЭОО (МКА);6
2;22;5;3;2020-08-13;2021-02-01;6;2021-05-06;не определена дата ЭОО (МКА);6
5;23;5;3;2020-06-11;2021-02-01;6;2021-05-07;не определена дата ЭОО (МКА);6
5;26;5;3;2020-06-11;2021-02-01;6;2021-05-15;не определена дата ЭОО (МКА);6
4;38;5;3;2020-06-12;2021-05-10;6;2021-07-07;не определена дата ЭОО (МКА);6
4;41;5;3;2020-04-01;;6;2021-05-15;не определена дата ЭОО (МКА);6
4;43;5;7;2020-09-18;2020-12-18;6;2021-02-02;не определена дата ЭОО (МКА);6
4;44;5;7;2020-09-18;2020-12-18;6;2021-02-02;не определена дата ЭОО (МКА);6
5;25;17;8;2020-09-17;2020-11-02;6;2021-03-05;Правообладателем решается  вопрос сохранения объектов сам. строительства;6
1;27;7;3;2020-10-16;;23;;Нужно получить информацию в КГПиС по проекту;7
2;16;7;3;2020-10-16;;23;;Требуется информация от префектуры и ДЖКХ о дальнейшем использовании территории;7
2;20;8;2;2020-10-16;2020-11-16;24;2020-11-16;Проработка вопроса по обращению ;7
