district;krt;stage;status_stage;date_start;date_end;next_stage;date_next;descriptions;group_name
2;48;1;1;2020-05-15;2020-11-01;3;2020-12-01;Ускорить  доклад Бочкареву, вынести на штаб по реновации;1
4;49;8;7;2019-11-29;2020-12-10;7;2021-01-01;;6
5;50;2;7;2020-08-21;2020-11-01;1;2021-01-01;Проработать с МКСИ  вынесение на ГЗК;1
5;51;8;4;2020-01-24;2020-12-10;7;2021-01-01;;6
9;52;;;;;;;;
9;53;4;6;2020-11-09;2020-11-22;5;2021-01-01;Контроль сроков вынесения на ЭОО;2
5;54;4;6;2020-10-19;2020-11-01;5;2020-12-01;Контроль сроков вынесения на ЭОО;2
7;55;8;4;2020-03-13;2020-11-02;7;2021-01-01;;6
1;56;;;;;;;;
10;57;;;;;;;;
10;58;;;;;;;;
8;59;1;8;2020-10-05;2020-12-05;3;2021-01-01;;1
7;60;8;4;2019-08-16;2020-12-06;7;2021-01-01;;6
4;61;11;2;2020-09-21;2021-03-01;5;2021-04-01;Разработка ППТ – 90 дн;4
9;62;;;;;;;;
9;63;;;;;;;;
9;64;8;7;2020-06-25;2021-01-10;7;2021-02-02;;0
6;65;;;;;;;;
2;66;;;;;;;;
4;67;;;;;;;;
1;68;4;6;2020-11-09;2020-11-22;5;2021-01-01;;2
9;69;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
2;70;8;7;2020-01-24;2020-12-10;7;2021-01-01;;6
5;71;8;7;2020-10-08;2021-01-10;7;2021-02-02;;6
5;72;8;4;2019-11-29;2020-12-10;7;2021-01-01;;6
2;73;4;6;2020-11-09;2020-11-22;5;2021-01-01;;2
9;74;8;7;2019-11-29;2020-12-10;7;2021-01-01;;6
1;75;8;4;2019-11-29;2020-12-10;7;2021-01-01;;6
1;76;;;;;;;;
1;77;;;;;;;;
1;78;;;;;;;;
1;79;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
4;80;;;;;;;;
5;81;8;7;2020-10-08;2021-01-10;7;2021-02-02;;6
4;82;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
2;83;;;;;;;;
7;84;;;;;;;;
10;85;8;7;2020-10-08;2021-01-10;7;2021-02-02;;6
1;86;7;3;2020-11-01;2020-11-20;11;2020-12-01;Вынести  на РГ ГЗК. МКА направить реквизиты письма;5
3;87;;;;;;;;
7;88;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
5;89;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
1;90;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
4;91;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
3;92;8;7;2020-10-08;2021-01-10;7;2021-02-02;;6
7;93;;;;;;;;
5;94;;;;;;;;
7;95;;;;;;;;
2;96;;;;;;;;
10;97;;;;;;;;
7;98;7;3;2020-11-01;2020-11-25;11;2020-12-01;Вынести  на РГ ГЗК;5
4;99;;;;;;;;
9;100;;;;;;;;
9;101;;;;;;;;
11;102;;;;;;;;
8;103;8;9;2020-10-20;2020-11-05;7;2020-12-02;;6
3;104;;;;;;;;
1;105;;;;;;;;
4;106;4;6;2020-12-01;2020-12-01;5;2021-02-01;;2
3;107;;;;;;;;
9;108;;;;;;;;
8;109;6;6;2020-11-01;2020-11-01;11;2020-12-01;Вынести на ГЗК после доработки;3
9;110;;;;;;;;
2;111;8;7;2020-05-29;2001-01-15;7;2021-02-02;;6
6;112;;;;;;;;
8;113;;;;;;;;
7;114;;;;;;;;
5;115;;;;;;;;
8;116;9;5;2020-09-22;2020-11-05;10;2021-05-01;"Вынести на РГ ""Жилище"" ДГП";7
8;117;;;;;;;;
9;118;;;;;;;;
3;119;;;;;;;;
6;120;;;;;;;;
2;121;;;;;;;;
1;122;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
9;123;;;;;;;;
7;124;;;;;;;;
3;125;;;;;;;;
5;126;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
4;127;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
2;128;;;;;;;;
8;129;;;;;;;;
4;130;;;;;;;;
2;131;;;;;;;;
5;132;;;;;;;;
10;133;;;;;;;;
8;134;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
4;135;9;5;2020-09-22;2020-11-05;10;2021-05-01;Получить график вынесения проектов от МКА;7
3;136;;;;;;;;
9;137;5;6;2020-11-01;2020-11-01;4;2021-02-01;Назначить дату ГК;3
9;138;7;6;2020-10-20;2020-11-01;11;2020-12-01;;5
