id;name;fullname
1;Договор о КРТ ;
2;Решение о КРТ;
3;Аукцион;
4;ГЗК;Градостроительно-земельная комиссия 
5;ЭОО;Электронные общетсенные обсуждения
6;Выпуск ППМ;
7;Исключение из ПЗЗ;
8;Решение о реализации проекта;
9;ПС;Публичные слушания
10;ГП;Комиссия по Градполитике
11;Заключение госэкспертизы;
12;Разрешение на строительство;
13;Работа с правообладателями;
14;Предложение об исключении из ПЗЗ;
15;Подготовка документов правообладателем;
16;Согласование предложений об исключении из ПЗЗ;
17;Оплата правообладателем штрафных санкций за объекты самовольного строительства;
18;Внесение изменений в ПЗЗ правообладателем;
19;Признание объектов самовольным строительством;
20;Проведение аукциона ;
21;Заключение договора о КРТ;
22;"решение ГЗК: 1.  о сохранении объектов самостроя; 2.  о КРТ по инициат. Правительства Москвы; 3. о КРТ по инициат. правообладателя.";
23;Подготовка предложения;
24;Доклад Ефимову В.В.;
